session ;user;query position;cell hashcode;novelty;outlierness;relevance;surprise;query label;session label
dibstudent03--2016-09-25--17-37.log;dibstudent03;6;-1334070008;true;0.4386460669144113;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;6;687729583;true;0.044078330795545906;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;6;831037120;true;0.09495381216611842;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;6;619601740;true;0.4359409861715702;0.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;7;1301674565;false;0.4804028635857647;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;7;1237594128;false;0.2605011465012319;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;7;-1103701420;false;0.2378832752466169;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;7;-892266040;false;0.12963855072177055;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;7;-962611326;false;0.3227674836001082;1.0;Infinity;0;C;
dibstudent03--2016-09-25--17-37.log;dibstudent03;7;-1035573577;false;0.053670596739093024;1.0;Infinity;0;C;
